Cases,Category,Country,Number of Records,Quality,Year
9000,Irish Whiskey,Russia,1,Standard,1/1/97 12:00:00 AM
8000,Irish Whiskey,Russia,1,Standard,1/1/98 12:00:00 AM
6000,Irish Whiskey,Russia,1,Standard,1/1/99 12:00:00 AM
7500,Irish Whiskey,Russia,1,Standard,1/1/00 12:00:00 AM
10000,Irish Whiskey,Russia,1,Standard,1/1/01 12:00:00 AM
12000,Irish Whiskey,Russia,1,Standard,1/1/02 12:00:00 AM
14000,Irish Whiskey,Russia,1,Standard,1/1/03 12:00:00 AM
21500,Irish Whiskey,Russia,1,Standard,1/1/04 12:00:00 AM
37800,Irish Whiskey,Russia,1,Standard,1/1/05 12:00:00 AM
59250,Irish Whiskey,Russia,1,Standard,1/1/06 12:00:00 AM
97750,Irish Whiskey,Russia,1,Standard,1/1/07 12:00:00 AM
136750,Irish Whiskey,Russia,1,Standard,1/1/08 12:00:00 AM
124650,Irish Whiskey,Russia,1,Standard,1/1/09 12:00:00 AM
171500,Irish Whiskey,Russia,1,Standard,1/1/10 12:00:00 AM
292600,Irish Whiskey,Russia,1,Standard,1/1/11 12:00:00 AM
345200,Irish Whiskey,Russia,1,Standard,1/1/12 12:00:00 AM
367600,Irish Whiskey,Russia,1,Standard,1/1/13 12:00:00 AM
427500,Irish Whiskey,Russia,1,Standard,1/1/14 12:00:00 AM
277700,Irish Whiskey,Russia,1,Standard,1/1/15 12:00:00 AM
280250,Irish Whiskey,Russia,1,Standard,1/1/16 12:00:00 AM
80000,Irish Whiskey,Germany,1,Standard,1/1/90 12:00:00 AM
85000,Irish Whiskey,Germany,1,Standard,1/1/91 12:00:00 AM
98000,Irish Whiskey,Germany,1,Standard,1/1/92 12:00:00 AM
89000,Irish Whiskey,Germany,1,Standard,1/1/93 12:00:00 AM
96500,Irish Whiskey,Germany,1,Standard,1/1/94 12:00:00 AM
84500,Irish Whiskey,Germany,1,Standard,1/1/95 12:00:00 AM
91750,Irish Whiskey,Germany,1,Standard,1/1/96 12:00:00 AM
90000,Irish Whiskey,Germany,1,Standard,1/1/97 12:00:00 AM
92750,Irish Whiskey,Germany,1,Standard,1/1/98 12:00:00 AM
99500,Irish Whiskey,Germany,1,Standard,1/1/99 12:00:00 AM
107100,Irish Whiskey,Germany,1,Standard,1/1/00 12:00:00 AM
112950,Irish Whiskey,Germany,1,Standard,1/1/01 12:00:00 AM
113200,Irish Whiskey,Germany,1,Standard,1/1/02 12:00:00 AM
118400,Irish Whiskey,Germany,1,Standard,1/1/03 12:00:00 AM
137300,Irish Whiskey,Germany,1,Standard,1/1/04 12:00:00 AM
135650,Irish Whiskey,Germany,1,Standard,1/1/05 12:00:00 AM
136550,Irish Whiskey,Germany,1,Standard,1/1/06 12:00:00 AM
146000,Irish Whiskey,Germany,1,Standard,1/1/07 12:00:00 AM
168000,Irish Whiskey,Germany,1,Standard,1/1/08 12:00:00 AM
165300,Irish Whiskey,Germany,1,Standard,1/1/09 12:00:00 AM
182200,Irish Whiskey,Germany,1,Standard,1/1/10 12:00:00 AM
224500,Irish Whiskey,Germany,1,Standard,1/1/11 12:00:00 AM
246750,Irish Whiskey,Germany,1,Standard,1/1/12 12:00:00 AM
277500,Irish Whiskey,Germany,1,Standard,1/1/13 12:00:00 AM
293500,Irish Whiskey,Germany,1,Standard,1/1/14 12:00:00 AM
285500,Irish Whiskey,Germany,1,Standard,1/1/15 12:00:00 AM
279000,Irish Whiskey,Germany,1,Standard,1/1/16 12:00:00 AM
110000,Irish Whiskey,United Kingdom,1,Standard,1/1/90 12:00:00 AM
110000,Irish Whiskey,United Kingdom,1,Standard,1/1/91 12:00:00 AM
115000,Irish Whiskey,United Kingdom,1,Standard,1/1/92 12:00:00 AM
125000,Irish Whiskey,United Kingdom,1,Standard,1/1/93 12:00:00 AM
140500,Irish Whiskey,United Kingdom,1,Standard,1/1/94 12:00:00 AM
151000,Irish Whiskey,United Kingdom,1,Standard,1/1/95 12:00:00 AM
149800,Irish Whiskey,United Kingdom,1,Standard,1/1/96 12:00:00 AM
163000,Irish Whiskey,United Kingdom,1,Standard,1/1/97 12:00:00 AM
174000,Irish Whiskey,United Kingdom,1,Standard,1/1/98 12:00:00 AM
185400,Irish Whiskey,United Kingdom,1,Standard,1/1/99 12:00:00 AM
196300,Irish Whiskey,United Kingdom,1,Standard,1/1/00 12:00:00 AM
209750,Irish Whiskey,United Kingdom,1,Standard,1/1/01 12:00:00 AM
233300,Irish Whiskey,United Kingdom,1,Standard,1/1/02 12:00:00 AM
238950,Irish Whiskey,United Kingdom,1,Standard,1/1/03 12:00:00 AM
245500,Irish Whiskey,United Kingdom,1,Standard,1/1/04 12:00:00 AM
253750,Irish Whiskey,United Kingdom,1,Standard,1/1/05 12:00:00 AM
250000,Irish Whiskey,United Kingdom,1,Standard,1/1/06 12:00:00 AM
256500,Irish Whiskey,United Kingdom,1,Standard,1/1/07 12:00:00 AM
266000,Irish Whiskey,United Kingdom,1,Standard,1/1/08 12:00:00 AM
262000,Irish Whiskey,United Kingdom,1,Standard,1/1/09 12:00:00 AM
276000,Irish Whiskey,United Kingdom,1,Standard,1/1/10 12:00:00 AM
246500,Irish Whiskey,United Kingdom,1,Standard,1/1/11 12:00:00 AM
238750,Irish Whiskey,United Kingdom,1,Standard,1/1/12 12:00:00 AM
245500,Irish Whiskey,United Kingdom,1,Standard,1/1/13 12:00:00 AM
249250,Irish Whiskey,United Kingdom,1,Standard,1/1/14 12:00:00 AM
264250,Irish Whiskey,United Kingdom,1,Standard,1/1/15 12:00:00 AM
274500,Irish Whiskey,United Kingdom,1,Standard,1/1/16 12:00:00 AM
,Irish Whiskey,Czech Republic,1,Standard,1/1/90 12:00:00 AM
,Irish Whiskey,Czech Republic,1,Standard,1/1/91 12:00:00 AM
,Irish Whiskey,Czech Republic,1,Standard,1/1/92 12:00:00 AM
500,Irish Whiskey,Czech Republic,1,Standard,1/1/93 12:00:00 AM
1000,Irish Whiskey,Czech Republic,1,Standard,1/1/94 12:00:00 AM
2250,Irish Whiskey,Czech Republic,1,Standard,1/1/95 12:00:00 AM
6250,Irish Whiskey,Czech Republic,1,Standard,1/1/96 12:00:00 AM
11000,Irish Whiskey,Czech Republic,1,Standard,1/1/97 12:00:00 AM
18250,Irish Whiskey,Czech Republic,1,Standard,1/1/98 12:00:00 AM
17750,Irish Whiskey,Czech Republic,1,Standard,1/1/99 12:00:00 AM
24000,Irish Whiskey,Czech Republic,1,Standard,1/1/00 12:00:00 AM
28950,Irish Whiskey,Czech Republic,1,Standard,1/1/01 12:00:00 AM
34000,Irish Whiskey,Czech Republic,1,Standard,1/1/02 12:00:00 AM
38660,Irish Whiskey,Czech Republic,1,Standard,1/1/03 12:00:00 AM
50720,Irish Whiskey,Czech Republic,1,Standard,1/1/04 12:00:00 AM
61480,Irish Whiskey,Czech Republic,1,Standard,1/1/05 12:00:00 AM
79150,Irish Whiskey,Czech Republic,1,Standard,1/1/06 12:00:00 AM
101950,Irish Whiskey,Czech Republic,1,Standard,1/1/07 12:00:00 AM
115950,Irish Whiskey,Czech Republic,1,Standard,1/1/08 12:00:00 AM
136250,Irish Whiskey,Czech Republic,1,Standard,1/1/09 12:00:00 AM
115000,Irish Whiskey,Czech Republic,1,Standard,1/1/10 12:00:00 AM
135000,Irish Whiskey,Czech Republic,1,Standard,1/1/11 12:00:00 AM
135650,Irish Whiskey,Czech Republic,1,Standard,1/1/12 12:00:00 AM
154000,Irish Whiskey,Czech Republic,1,Standard,1/1/13 12:00:00 AM
172500,Irish Whiskey,Czech Republic,1,Standard,1/1/14 12:00:00 AM
182500,Irish Whiskey,Czech Republic,1,Standard,1/1/15 12:00:00 AM
197500,Irish Whiskey,Czech Republic,1,Standard,1/1/16 12:00:00 AM
21850,Irish Whiskey,Canada,1,Standard,1/1/90 12:00:00 AM
