"Fertility rates by age and time"

" ","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"43 years",3.6,3.1,1.9,2.8,2.2,2.2,1.9,1.6,1.7,1.6,1.5,1.2,1.8,2.1,2.1,2.0,2.5,2.3,2.4,2.7,3.3,3.5,3.2,3.1,3.4,3.7,3.3,3.9,3.7,4.5,4.5,4.4,4.5,4.6,5.5,5.2,5.3,6.0,5.9,6.1,6.2,6.8,7.1,7.0,8.1,7.6,8.9,8.8,8.4,8.8
"44 years",1.5,1.2,1.3,1.3,1.1,0.9,1.1,0.7,0.8,1.0,0.8,0.8,1.0,1.0,1.1,1.1,1.1,1.0,1.2,1.2,1.8,1.7,1.2,1.6,1.4,1.8,1.4,2.1,1.7,1.9,2.1,2.1,2.2,2.7,2.6,2.7,3.2,3.3,2.9,2.9,3.0,3.4,3.3,3.6,4.2,4.4,5.0,4.5,4.9,5.2
"45 years",0.9,0.6,0.5,0.4,0.5,0.4,0.4,0.5,0.5,0.5,0.6,0.4,0.6,0.6,0.5,0.6,0.4,0.7,0.4,0.8,0.8,0.7,0.6,0.8,1.0,0.9,0.8,1.0,0.8,1.0,1.2,1.1,1.2,1.1,1.4,1.8,1.6,1.5,1.6,1.8,1.6,1.8,1.8,2.4,2.1,2.2,2.7,2.8,2.9,3.1
"46 years",0.5,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.4,0.2,0.3,0.3,0.2,0.4,0.3,0.3,0.2,0.4,0.2,0.3,0.2,0.4,0.3,0.3,0.2,0.3,0.6,0.6,0.7,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.7,1.2,1.1,1.1,1.0,0.8,1.4,1.2,1.6,1.6,2.2,2.2
"47 years",0.2,0.2,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.2,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.1,0.1,0.3,0.2,0.1,0.2,0.1,0.2,0.1,0.2,0.1,0.3,0.2,0.4,0.4,0.4,0.6,0.4,0.4,0.5,0.7,0.7,0.7,0.8,0.5,1.0,0.9
"48 years",0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.2,0.1,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.2,0.2,0.3,0.3,0.1,0.5,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.1,0.3
"49 years",0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.2,0.2,0.0,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.2,0.3,0.2,0.3,0.2,0.4
"Gross Reproduction Rate",933.1,924.7,938.8,844.1,806.2,811.2,778.6,754.2,703.0,693.8,672.7,681.9,707.7,720.1,723.1,757.0,789.5,811.0,820.6,857.7,851.6,883.6,878.9,850.8,854.1,837.3,849.0,863.5,852.0,837.5,856.6,871.5,881.9,897.9,899.5,915.0,894.9,913.2,860.9,839.9,814.8,821.2,834.8,864.5,854.0,840.3,823.7,817.9,839.3,752.2
"Net Reproduction Rate",913.4,906.2,921.2,829.0,792.2,797.3,765.6,741.6,691.3,682.4,662.1,671.3,696.8,708.9,711.5,745.1,777.0,798.2,808.3,845.5,840.2,872.1,867.6,840.2,843.9,827.6,839.2,854.2,842.8,827.9,847.2,862.4,873.2,889.6,891.2,906.9,886.1,905.6,854.1,833.1,808.0,814.9,828.0,858.1,847.3,834.2,817.9,812.4,833.0,746.6

